,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
165,2021-07-15,31064.77,33187.6,32815.75,31868.68,11273.61174025,-947.0699999999997,32126.184999999998,6.833560975986617,BTC-USD
166,2021-07-14,31600.0,33125.55,32734.14,32816.39,10355.3186961,82.25,32362.775,4.8276898734177305,BTC-USD
167,2021-07-13,32201.12,33337.61,33077.43,32734.14,9478.04218884,-343.2900000000009,32769.365,3.5293492897141516,BTC-USD
168,2021-07-12,32665.0,34670.0,34259.22,33091.1,10145.24046995,-1168.1200000000026,33667.5,6.138068268789224,BTC-USD
169,2021-07-11,33333.33,34607.37,33515.35,34259.23,7023.06500489,743.8800000000047,33970.350000000006,3.8221203822120406,BTC-USD
170,2021-07-10,33027.83,34267.14,33824.25,33515.35,4906.24582215,-308.90000000000146,33647.485,3.752320391621241,BTC-USD
171,2021-07-09,32255.24,34100.0,32875.95,33824.26,8320.90649257,948.310000000005,33177.62,5.719256778123487,BTC-USD
172,2021-07-08,32111.0,33934.62,33879.5,32875.95,14147.3525248,-1003.5500000000029,33022.81,5.6791130765158435,BTC-USD
173,2021-07-07,33770.01,35077.46,34225.72,33878.56,9404.8979867,-347.1600000000035,34423.735,3.8716304792328966,BTC-USD
174,2021-07-06,33300.0,35100.0,33697.78,34225.73,10313.01368118,527.9500000000044,34200.0,5.405405405405405,BTC-USD
175,2021-07-05,33156.86,35290.82,35284.06,33697.78,9607.60619891,-1586.2799999999988,34223.84,6.435953223556148,BTC-USD
176,2021-07-04,34390.53,35951.0,34685.03,35284.05,6224.03057033,599.0200000000041,35170.765,4.537499131301557,BTC-USD
177,2021-07-03,33320.0,34953.07,33805.01,34682.16,6197.80112922,877.1500000000015,34136.535,4.901170468187274,BTC-USD
178,2021-07-02,32704.73,33972.06,33510.93,33805.02,11765.65389836,294.0899999999965,33338.395,3.8750663894794366,BTC-USD
179,2021-07-01,32703.48,35066.54,35060.0,33516.11,13210.9509733,-1543.8899999999994,33885.01,7.225714205338396,BTC-USD
180,2021-06-30,34033.0,36094.42,35906.17,35060.0,16700.72309396,-846.1699999999983,35063.71,6.057121029588923,BTC-USD
181,2021-06-29,34233.35,36675.0,34493.22,35904.28,17917.59826258,1411.0599999999977,35454.175,7.132372379565545,BTC-USD
182,2021-06-28,33864.99,35301.43,34708.53,34493.22,14920.2647883,-215.30999999999767,34583.21,4.24166668881344,BTC-USD
183,2021-12-27,4027.56,4128.9,4066.14,4038.64,108344.57109844,-27.5,4078.2299999999996,2.516163632571574,ETH-USD
184,2021-12-26,4008.01,4106.5,4098.67,4065.91,66848.08372392,-32.76000000000022,4057.255,2.4573291982804375,ETH-USD
185,2021-12-25,4021.31,4143.13,4049.81,4097.43,68854.05530395,47.620000000000346,4082.2200000000003,3.0293610788524177,ETH-USD
186,2021-12-24,4005.0,4138.71,4113.64,4049.65,109472.89747679,-63.99000000000024,4071.855,3.338576779026218,ETH-USD
187,2021-12-23,3895.7,4157.82,3980.82,4113.08,180980.07790929,132.25999999999976,4026.7599999999998,6.72844418204687,ETH-USD
188,2021-12-22,3933.74,4075.0,4017.35,3981.12,110316.26044274,-36.23000000000002,4004.37,3.5909846609079454,ETH-USD
189,2021-12-21,3908.13,4063.89,3946.59,4017.11,137991.50149241,70.51999999999998,3986.01,3.985537840348191,ETH-USD
190,2021-12-20,3754.8,3984.08,3925.78,3946.16,172027.91571974,20.379999999999654,3869.44,6.106317247256837,ETH-USD
191,2021-12-19,3886.03,4039.73,3961.93,3925.79,102078.81232557,-36.13999999999987,3962.88,3.955193346422951,ETH-USD
192,2021-12-18,3768.14,3999.0,3876.37,3961.92,113485.77521903,85.55000000000018,3883.5699999999997,6.126630114592349,ETH-USD
193,2021-12-17,3699.0,3994.81,3957.12,3876.02,209823.26509135,-81.09999999999991,3846.9049999999997,7.997026223303594,ETH-USD
194,2021-12-16,3952.81,4116.39,4021.41,3957.28,174285.93324831,-64.12999999999965,4034.6000000000004,4.138321852049565,ETH-USD
195,2021-12-15,3643.43,4097.0,3860.72,4021.53,319094.24570016,160.8100000000004,3870.215,12.448983512788777,ETH-USD
196,2021-12-14,3686.49,3884.08,3784.0,3860.74,197099.24204846,76.73999999999978,3785.285,5.3598409327029275,ETH-USD
197,2021-12-13,3660.0,4146.1,4132.91,3783.81,305712.33000025,-349.0999999999999,3903.05,13.281420765027333,ETH-USD
198,2021-12-12,3989.41,4186.16,4091.17,4132.92,108368.85746466,41.75,4087.785,4.93180695892375,ETH-USD
199,2021-12-11,3835.0,4099.87,3899.97,4091.18,166327.13830459,191.21000000000004,3967.435,6.906649282920467,ETH-USD
200,2021-12-10,3889.42,4232.38,4105.99,3900.91,273780.7217072,-205.07999999999993,4060.9,8.817767173511733,ETH-USD
201,2021-12-09,4076.15,4490.72,4440.94,4106.06,222048.28315781,-334.8799999999992,4283.435,10.170626694307131,ETH-USD
202,2021-12-08,4226.88,4456.36,4310.21,4440.51,186740.13696568,130.30000000000018,4341.62,5.429063517298801,ETH-USD
203,2021-12-07,4260.0,4433.99,4354.09,4310.19,198306.85854675,-43.900000000000546,4346.995,4.084272300469478,ETH-USD
